InstitutionId,InstitutionName,InstitutionShortName,InstitutionIdentifiers,InstitutionIdentificationSystems,AddressStreet,City,State,Zip,County,OperationalStatus,CarnegieClassification,LevelOfInstitution,WebsiteURL,Locale
7011,Lake Superior State University,LSSU,7011,OrganizationIdentificationSystem_SEA,650 W Easterday Ave,Sault Ste. Marie,StateAbbreviation_MI,49783,Chippewa,OperationalStatus_Open,CarnegieBasicClassification_BaccalaureateCollegesDiverseFields,LevelOfInstitution_FourYearOrAbove,https://lssu.edu,Locale_TownRemote
7012,Michigan Technological University,MTU,7012,OrganizationIdentificationSystem_SEA,1400 Townsend Dr,Houghton,StateAbbreviation_MI,49931,Houghton,OperationalStatus_Open,CarnegieBasicClassification_DoctoralUniversitiesHighResearchActivity,LevelOfInstitution_FourYearOrAbove,https://mtu.edu,Locale_TownRemote
7013,Alma College,Alma,7013,OrganizationIdentificationSystem_SEA,614 W Superior St,Alma,StateAbbreviation_MI,48801,Gratiot,OperationalStatus_Open,CarnegieBasicClassification_BaccalaureateCollegesArtsAndSciencesFocus,LevelOfInstitution_FourYearOrAbove,https://alma.edu,Locale_TownDistant
7014,Kalamazoo College,K-College,7014,OrganizationIdentificationSystem_SEA,1200 Academy St,Kalamazoo,StateAbbreviation_MI,49006,Kalamazoo,OperationalStatus_Open,CarnegieBasicClassification_BaccalaureateCollegesArtsAndSciencesFocus,LevelOfInstitution_FourYearOrAbove,https://kzoo.edu,Locale_CitySmall
7015,Calvin University,Calvin,7015,OrganizationIdentificationSystem_SEA,3201 Burton St SE,Grand Rapids,StateAbbreviation_MI,49546,Kent,OperationalStatus_Open,CarnegieBasicClassification_MasterCollegesUniversitiesMediumPrograms,LevelOfInstitution_FourYearOrAbove,https://calvin.edu,Locale_CityMidsize
7016,Grand Rapids Community College,GRCC,7016,OrganizationIdentificationSystem_SEA,143 Bostwick Ave NE,Grand Rapids,StateAbbreviation_MI,49503,Kent,OperationalStatus_Open,CarnegieBasicClassification_AssociatesCollegesHighTransferHighTraditional,LevelOfInstitution_AtLeastTwoButLessThanFourYears,https://grcc.edu,Locale_CityMidsize
7017,Lansing Community College,LCC,7017,OrganizationIdentificationSystem_SEA,419 N Washington Sq,Lansing,StateAbbreviation_MI,48933,Ingham,OperationalStatus_Open,CarnegieBasicClassification_AssociatesCollegesHighTransferMixed,LevelOfInstitution_AtLeastTwoButLessThanFourYears,https://lcc.edu,Locale_CityMidsize
7018,Washtenaw Community College,WCC,7018,OrganizationIdentificationSystem_SEA,4800 E Huron River Dr,Ann Arbor,StateAbbreviation_MI,48105,Washtenaw,OperationalStatus_Open,CarnegieBasicClassification_AssociatesCollegesMixedTransferVocational,LevelOfInstitution_AtLeastTwoButLessThanFourYears,https://wccnet.edu,Locale_SuburbanLarge
7019,Henry Ford College,HFC,7019,OrganizationIdentificationSystem_SEA,5101 Evergreen Rd,Dearborn,StateAbbreviation_MI,48128,Wayne,OperationalStatus_Open,CarnegieBasicClassification_AssociatesCollegesHighTransferHighTraditional,LevelOfInstitution_AtLeastTwoButLessThanFourYears,https://hfcc.edu,Locale_SuburbanLarge
7020,Oakland Community College,OCC,7020,OrganizationIdentificationSystem_SEA,2480 Opdyke Rd,Bloomfield Hills,StateAbbreviation_MI,48304,Oakland,OperationalStatus_Open,CarnegieBasicClassification_AssociatesCollegesHighTransferHighTraditional,LevelOfInstitution_AtLeastTwoButLessThanFourYears,https://oaklandcc.edu,Locale_SuburbanLarge
7021,Schoolcraft College,Schoolcraft,7021,OrganizationIdentificationSystem_SEA,18600 Haggerty Rd,Livonia,StateAbbreviation_MI,48152,Wayne,OperationalStatus_Open,CarnegieBasicClassification_AssociatesCollegesHighTransferMixed,LevelOfInstitution_AtLeastTwoButLessThanFourYears,https://schoolcraft.edu,Locale_SuburbanLarge
7022,Monroe County Community College,MCCC,7022,OrganizationIdentificationSystem_SEA,1555 S Raisinville Rd,Monroe,StateAbbreviation_MI,48161,Monroe,OperationalStatus_Open,CarnegieBasicClassification_AssociatesCollegesHighVocational,LevelOfInstitution_AtLeastTwoButLessThanFourYears,https://monroeccc.edu,Locale_TownFringe
7023,Bay de Noc Community College,Bay de Noc,7023,OrganizationIdentificationSystem_SEA,2001 N Lincoln Rd,Escanaba,StateAbbreviation_MI,49829,Delta,OperationalStatus_Open,CarnegieBasicClassification_AssociatesCollegesHighVocational,LevelOfInstitution_AtLeastTwoButLessThanFourYears,https://baycollege.edu,Locale_TownRemote
7024,North Central Michigan College,NCMC,7024,OrganizationIdentificationSystem_SEA,1515 Howard St,Petoskey,StateAbbreviation_MI,49770,Emmet,OperationalStatus_Open,CarnegieBasicClassification_AssociatesCollegesMixedTransferVocational,LevelOfInstitution_AtLeastTwoButLessThanFourYears,https://ncmich.edu,Locale_TownFringe
7025,Baker College,Baker,7025,OrganizationIdentificationSystem_SEA,1050 W Bristol Rd,Flint,StateAbbreviation_MI,48507,Genesee,OperationalStatus_Open,CarnegieBasicClassification_BaccalaureateDiverseAssociatesDominant,LevelOfInstitution_FourYearOrAbove,https://baker.edu,Locale_SuburbanSmall
7026,Davenport University,Davenport,7026,OrganizationIdentificationSystem_SEA,6191 Kraft Ave SE,Grand Rapids,StateAbbreviation_MI,49512,Kent,OperationalStatus_Open,CarnegieBasicClassification_MasterCollegesUniversitiesSmallerPrograms,LevelOfInstitution_FourYearOrAbove,https://davenport.edu,Locale_SuburbanSmall
7027,Spring Arbor University,SAU,7027,OrganizationIdentificationSystem_SEA,106 E Main St,Spring Arbor,StateAbbreviation_MI,49283,Jackson,OperationalStatus_Open,CarnegieBasicClassification_MasterCollegesUniversitiesSmallerPrograms,LevelOfInstitution_FourYearOrAbove,https://arbor.edu,Locale_RuralFringe
7028,Concordia University Ann Arbor,CUAA,7028,OrganizationIdentificationSystem_SEA,4090 Geddes Rd,Ann Arbor,StateAbbreviation_MI,48105,Washtenaw,OperationalStatus_Open,CarnegieBasicClassification_BaccalaureateCollegesDiverseFields,LevelOfInstitution_FourYearOrAbove,https://cuaa.edu,Locale_SuburbanLarge
7029,Closed MI College,Closed College,7029,OrganizationIdentificationSystem_SEA,1 Old Campus Rd,Flint,StateAbbreviation_MI,48502,Genesee,OperationalStatus_Closed,,LevelOfInstitution_FourYearOrAbove,,
7030,Ross Medical Education Center,Ross Medical,7030,OrganizationIdentificationSystem_SEA,4741 Washtenaw Ave,Ann Arbor,StateAbbreviation_MI,48108,Washtenaw,OperationalStatus_Open,CarnegieBasicClassification_SpecialFocusTwoYearHealthProfessions,LevelOfInstitution_LessThanTwoYears,https://rosseducation.edu,Locale_SuburbanLarge
