FacilityId,FacilityName,FacilityShortName,FacilityIdentifiers,FacilityIdentificationSystems,AddressStreet,City,State,Zip,Locale,BuildingUseType,FacilityLeaseType,FacilityLeaseOwnershipType,FacilityOwnershipIndicator,OrganizationType,BuildingCommunityUseSpaceType,EducationInstitutionType,ServiceProviderType,WebsiteURL
8011,Performing Arts Center,PAC,8011,OrganizationIdentificationSystem_SEA,150 Arts Blvd,Traverse City,StateAbbreviation_MI,49686,Locale_TownFringe,BuildingUseType_PerformingArtsCenter,,FacilityLeaseOwnershipType_Owned,FacilityOwnershipIndicator_Yes,,,,,
8012,Early Childhood Center,ECC,8012,OrganizationIdentificationSystem_SEA,250 Preschool Ln,Traverse City,StateAbbreviation_MI,49686,Locale_TownFringe,BuildingUseType_School,,FacilityLeaseOwnershipType_LeasePurchase,FacilityOwnershipIndicator_No,,,EducationInstitutionType_PublicSchool,,
8013,Warehouse Storage Unit,Warehouse A,8013,OrganizationIdentificationSystem_SEA,800 Industrial Pkwy,Saginaw,StateAbbreviation_MI,48607,Locale_CitySmall,BuildingUseType_StorageFacility,,FacilityLeaseOwnershipType_Owned,FacilityOwnershipIndicator_Yes,,,,,
8014,Swimming Pool Complex,Pool Complex,8014,OrganizationIdentificationSystem_SEA,600 Aquatic Dr,Battle Creek,StateAbbreviation_MI,49017,Locale_SuburbanSmall,BuildingUseType_SwimmingPool,,FacilityLeaseOwnershipType_Owned,FacilityOwnershipIndicator_Yes,,,,,
8015,Media Center Building,Media Center,8015,OrganizationIdentificationSystem_SEA,321 Media Blvd,Rochester,StateAbbreviation_MI,48307,Locale_SuburbanLarge,BuildingUseType_MediaCenter,,FacilityLeaseOwnershipType_Owned,FacilityOwnershipIndicator_Yes,,,EducationInstitutionType_PublicSchool,,
8016,Computer Lab Annex,Comp Lab A,8016,OrganizationIdentificationSystem_SEA,322 Media Blvd,Rochester,StateAbbreviation_MI,48307,Locale_SuburbanLarge,BuildingUseType_ComputerLab,,FacilityLeaseOwnershipType_Owned,FacilityOwnershipIndicator_Yes,,,,,
8017,Recreation Center,Rec Center,8017,OrganizationIdentificationSystem_SEA,500 Park Ave,Troy,StateAbbreviation_MI,48098,Locale_SuburbanLarge,BuildingUseType_RecreationCenter,,FacilityLeaseOwnershipType_DonatedOrFree,FacilityOwnershipIndicator_Unknown,,,,,
8018,Music Room Portable,Music Rm,8018,OrganizationIdentificationSystem_SEA,111 School Rd,Marquette,StateAbbreviation_MI,49855,Locale_TownDistant,BuildingUseType_MusicRoom,,FacilityLeaseOwnershipType_Leased,FacilityOwnershipIndicator_No,,,,,
8019,Art Room Building,Art Bldg,8019,OrganizationIdentificationSystem_SEA,112 School Rd,Marquette,StateAbbreviation_MI,49855,Locale_TownDistant,BuildingUseType_ArtRoom,,FacilityLeaseOwnershipType_Owned,FacilityOwnershipIndicator_Yes,,,,,
8020,Indoor Track Facility,Track Bldg,8020,OrganizationIdentificationSystem_SEA,200 Athletic Blvd,Houghton,StateAbbreviation_MI,49931,Locale_TownRemote,BuildingUseType_IndoorTrack,,FacilityLeaseOwnershipType_Owned,FacilityOwnershipIndicator_Yes,,,,,
8021,Technology Center,Tech Center,8021,OrganizationIdentificationSystem_SEA,300 Innovation Dr,East Lansing,StateAbbreviation_MI,48823,Locale_SuburbanSmall,BuildingUseType_TechnologyCenter,,FacilityLeaseOwnershipType_Owned,FacilityOwnershipIndicator_Yes,,,EducationInstitutionType_PublicSchool,,
8022,Cafeteria Building,Cafeteria A,8022,OrganizationIdentificationSystem_SEA,400 Lunch Ln,Portage,StateAbbreviation_MI,49002,Locale_SuburbanSmall,BuildingUseType_Cafeteria,,FacilityLeaseOwnershipType_Owned,FacilityOwnershipIndicator_Yes,,,,,
8023,Workshop Facility,Workshop A,8023,OrganizationIdentificationSystem_SEA,500 Trade Rd,Bloomfield Hills,StateAbbreviation_MI,48301,Locale_SuburbanLarge,BuildingUseType_Workshop,,FacilityLeaseOwnershipType_Leased,FacilityOwnershipIndicator_No,,,,,
8024,Science Lab Complex,Sci Lab,8024,OrganizationIdentificationSystem_SEA,600 Discovery Dr,Clarkston,StateAbbreviation_MI,48346,Locale_SuburbanSmall,BuildingUseType_ScienceLab,,FacilityLeaseOwnershipType_Owned,FacilityOwnershipIndicator_Yes,,,EducationInstitutionType_PublicSchool,,
8025,Charter School Office,Charter Off,8025,OrganizationIdentificationSystem_SEA,700 Charter Pkwy,Oxford,StateAbbreviation_MI,48371,Locale_RuralFringe,BuildingUseType_Office,,FacilityLeaseOwnershipType_Leased,FacilityOwnershipIndicator_No,,,,ServiceProviderType_CharterSchoolAuthorizer,
8026,Dormitory Hall A,Dorm A,8026,OrganizationIdentificationSystem_SEA,800 Campus Dr,Allendale,StateAbbreviation_MI,49401,Locale_SuburbanSmall,BuildingUseType_Dormitory,,FacilityLeaseOwnershipType_Owned,FacilityOwnershipIndicator_Yes,,,,,
8027,Classroom Building B,Classroom B,8027,OrganizationIdentificationSystem_SEA,900 Academic Dr,Big Rapids,StateAbbreviation_MI,49307,Locale_TownDistant,BuildingUseType_Classroom,,FacilityLeaseOwnershipType_Owned,FacilityOwnershipIndicator_Yes,,,EducationInstitutionType_PublicSchool,,
8028,Warehouse B,Warehouse B,8028,OrganizationIdentificationSystem_SEA,950 Industrial Pkwy,St. Clair Shores,StateAbbreviation_MI,48081,Locale_SuburbanLarge,BuildingUseType_Warehouse,,FacilityLeaseOwnershipType_Other,FacilityOwnershipIndicator_Unknown,,,,,
8029,Other Facility Building,Other Bldg,8029,OrganizationIdentificationSystem_SEA,999 Misc Rd,Ontonagon,StateAbbreviation_MI,49953,Locale_RuralRemote,BuildingUseType_Other,,FacilityLeaseOwnershipType_Other,FacilityOwnershipIndicator_Unknown,,,,,
8030,Closed Facility,Old Bldg,8030,OrganizationIdentificationSystem_SEA,1 Demolished St,Benton Harbor,StateAbbreviation_MI,49022,Locale_SuburbanSmall,BuildingUseType_School,,,,,,,,
