LEAId,LEAName,LEAShortName,LEAIdentifiers,LEAIdentificationSystems,AddressStreet,City,State,Zip,LEAOperationalStatus,LEAType,PublicSchoolChoiceStatus,WebsiteURL,Locale
6011,Bay City Public Schools,BayCity PS,6011,OrganizationIdentificationSystem_SEA,910 N Walnut St,Bay City,StateAbbreviation_MI,48706,LEAOperationalStatus_Open,,,https://www.bcschools.net,Locale_CitySmall
6012,Marquette Area Public Schools,MAPS,6012,OrganizationIdentificationSystem_SEA,1203 W Fair Ave,Marquette,StateAbbreviation_MI,49855,LEAOperationalStatus_Open,,,https://www.mapsnet.org,Locale_TownDistant
6013,Alpena Public Schools,Alpena PS,6013,OrganizationIdentificationSystem_SEA,2373 Gordon Rd,Alpena,StateAbbreviation_MI,49707,LEAOperationalStatus_Open,,,https://www.alpenaschools.com,Locale_TownDistant
6014,Cheboygan Area Schools,Cheboygan AS,6014,OrganizationIdentificationSystem_SEA,627 W Lincoln Ave,Cheboygan,StateAbbreviation_MI,49721,LEAOperationalStatus_Open,,,https://www.cheboygan.k12.mi.us,Locale_TownRemote
6015,Clare Public Schools,Clare PS,6015,OrganizationIdentificationSystem_SEA,201 E State St,Clare,StateAbbreviation_MI,48617,LEAOperationalStatus_Open,,,https://www.clare.k12.mi.us,Locale_RuralFringe
6016,St. Joseph Public Schools,StJoe PS,6016,OrganizationIdentificationSystem_SEA,3275 Lincoln Ave,St. Joseph,StateAbbreviation_MI,49085,LEAOperationalStatus_Open,,,https://www.sjschools.org,Locale_SuburbanSmall
6017,Niles Community Schools,Niles CS,6017,OrganizationIdentificationSystem_SEA,111 Spruce St,Niles,StateAbbreviation_MI,49120,LEAOperationalStatus_Open,,,https://www.nilesschools.org,Locale_SuburbanSmall
6018,Houghton-Portage Township Schools,HPTS,6018,OrganizationIdentificationSystem_SEA,1603 Gundlach Rd,Houghton,StateAbbreviation_MI,49931,LEAOperationalStatus_Open,,,https://www.hpts.k12.mi.us,Locale_TownRemote
6019,Ontonagon Area Schools,Ontonagon AS,6019,OrganizationIdentificationSystem_SEA,701 Parker Ave,Ontonagon,StateAbbreviation_MI,49953,LEAOperationalStatus_Open,,,https://www.ontonagonschools.com,Locale_RuralRemote
6020,Closed LEA District,Closed LEA,6020,OrganizationIdentificationSystem_SEA,1 Old Rd,Benton Harbor,StateAbbreviation_MI,49022,LEAOperationalStatus_Closed,,,,Locale_SuburbanSmall
6021,Portage Public Schools,Portage PS,6021,OrganizationIdentificationSystem_SEA,8107 Mustang Dr,Portage,StateAbbreviation_MI,49002,LEAOperationalStatus_Open,,,https://www.portageps.org,Locale_SuburbanSmall
6022,East Lansing Public Schools,EL Schools,6022,OrganizationIdentificationSystem_SEA,841 Timberlane St,East Lansing,StateAbbreviation_MI,48823,LEAOperationalStatus_Open,,,https://www.elps.k12.mi.us,Locale_SuburbanSmall
6023,Rochester Community Schools,RCS,6023,OrganizationIdentificationSystem_SEA,501 W University Dr,Rochester,StateAbbreviation_MI,48307,LEAOperationalStatus_Open,,,https://www.rochester.k12.mi.us,Locale_SuburbanLarge
6024,Troy School District,Troy SD,6024,OrganizationIdentificationSystem_SEA,4400 Livernois,Troy,StateAbbreviation_MI,48098,LEAOperationalStatus_Open,,,https://www.troy.k12.mi.us,Locale_SuburbanLarge
6025,Bloomfield Hills Schools,BH Schools,6025,OrganizationIdentificationSystem_SEA,7273 Wing Lake Rd,Bloomfield Hills,StateAbbreviation_MI,48301,LEAOperationalStatus_Open,,,https://www.bloomfield.org,Locale_SuburbanLarge
6026,Clarkston Community Schools,Clarkston CS,6026,OrganizationIdentificationSystem_SEA,6389 Clarkston Rd,Clarkston,StateAbbreviation_MI,48346,LEAOperationalStatus_Open,,,https://www.clarkston.k12.mi.us,Locale_SuburbanSmall
6027,Oxford Community Schools,Oxford CS,6027,OrganizationIdentificationSystem_SEA,10 N Washington St,Oxford,StateAbbreviation_MI,48371,LEAOperationalStatus_Open,,,https://www.oxfordschools.org,Locale_RuralFringe
6028,Utica Community Schools,Utica CS,6028|MI-6028,OrganizationIdentificationSystem_SEA|OrganizationIdentificationSystem_NCES,11303 Greendale Dr,Sterling Heights,StateAbbreviation_MI,48312,LEAOperationalStatus_Open,,,https://www.uticak12.org,Locale_SuburbanLarge
6029,Lake Shore Public Schools,LakeShore PS,6029,OrganizationIdentificationSystem_SEA,21 Parcells Rd,St. Clair Shores,StateAbbreviation_MI,48081,LEAOperationalStatus_Open,,,https://www.lakeshore.k12.mi.us,Locale_SuburbanLarge
6030,Huron Valley Schools,HVS,6030,OrganizationIdentificationSystem_SEA,2390 S Milford Rd,Highland,StateAbbreviation_MI,48357,LEAOperationalStatus_Open,,,https://www.hvs.k12.mi.us,Locale_SuburbanSmall
