OrgId,OrgName,OrgShortName,OrgIdentifiers,OrgIdentificationSystems,OrgIdentifierTypes,IPEDSId,AddressTypes,AddressStreets,AddressApts,AddressCities,AddressStates,AddressZips,AddressCounties,Latitudes,Longitudes,XLocations,YLocations,OperationalStatus,OperationalStatusDate,WebsiteURL,OrgType,Locale
5000,Lincoln Elementary School,Lincoln Elem,5000|MI-5000,OrganizationIdentificationSystem_SEA|OrganizationIdentificationSystem_NCES,,,"AddressTypeForOrganization_Physical;AddressTypeForOrganization_Mailing","123 Main St;PO Box 100","Suite 1;","Detroit;Detroit",StateAbbreviation_MI|StateAbbreviation_MI,48201;48201,Wayne;Wayne,42.3314;42.3314,-83.0458;-83.0458,,-,OrganizationOperationalStatus_Open,2020-09-01,https://lincoln.detroit.k12.mi.us,OrganizationType_K12School,Locale_CityLarge
5011,West Michigan Academy,WMA,5011,OrganizationIdentificationSystem_SEA,,,"AddressTypeForOrganization_Physical","1234 West Ave",,"Holland",StateAbbreviation_MI,49423,Ottawa,42.7887,-86.1089,,OrganizationOperationalStatus_Open,2020-09-01,,OrganizationType_K12School,Locale_SuburbanSmall
5012,Traverse City Area Schools,TCAS,5012|MI-5012,OrganizationIdentificationSystem_SEA|OrganizationIdentificationSystem_NCES,,,"AddressTypeForOrganization_Physical","412 Webster St",,"Traverse City",StateAbbreviation_MI,49686,Grand Traverse,44.7631,-85.6206,,OrganizationOperationalStatus_Open,2018-09-01,https://www.tcaps.net,OrganizationType_LocalEducationAgency,Locale_TownFringe
5013,Bay City Public Schools,Bay City PS,5013,OrganizationIdentificationSystem_SEA,,,"AddressTypeForOrganization_Physical","910 N Walnut St",,"Bay City",StateAbbreviation_MI,48706,Bay,43.5978,-83.8886,,OrganizationOperationalStatus_Open,2017-09-01,https://www.bcschools.net,OrganizationType_LocalEducationAgency,Locale_CitySmall
5014,Midland County ESA,MCESA,5014,OrganizationIdentificationSystem_SEA,,,"AddressTypeForOrganization_Physical","3917 Jefferson Ave",,"Midland",StateAbbreviation_MI,48640,Midland,43.6224,-84.2289,,OrganizationOperationalStatus_Open,2016-09-01,https://www.mcesa.k12.mi.us,OrganizationType_EducationServiceAgency,Locale_TownDistant
5015,Pontiac Academy for Excellence,PAE,5015,OrganizationIdentificationSystem_SEA,,,"AddressTypeForOrganization_Physical","285 Arlene Ave",,"Pontiac",StateAbbreviation_MI,48340,Oakland,42.6389,-83.2910,,OrganizationOperationalStatus_Open,2021-09-01,https://www.pae-k12.org,OrganizationType_K12School,Locale_SuburbanLarge
5016,Muskegon Heights School District,MHSD,5016,OrganizationIdentificationSystem_SEA,,,"AddressTypeForOrganization_Physical","2441 Sanford St",,"Muskegon Heights",StateAbbreviation_MI,49444,Muskegon,43.1970,-86.2419,,OrganizationOperationalStatus_Open,2019-09-01,,OrganizationType_LocalEducationAgency,Locale_SuburbanSmall
5017,Detroit Edison PSA,DE-PSA,5017,OrganizationIdentificationSystem_SEA,,,"AddressTypeForOrganization_Physical","8200 E Jefferson Ave",,"Detroit",StateAbbreviation_MI,48214,Wayne,42.3495,-82.9724,,OrganizationOperationalStatus_Open,2020-09-01,https://detroitedisonpsa.org,OrganizationType_K12School,Locale_CityLarge
5018,Alpena Public Schools,Alpena PS,5018,OrganizationIdentificationSystem_SEA,,,"AddressTypeForOrganization_Physical","2373 Gordon Rd",,"Alpena",StateAbbreviation_MI,49707,Alpena,45.0617,-83.4327,,OrganizationOperationalStatus_Open,2018-09-01,https://www.alpena.k12.mi.us,OrganizationType_LocalEducationAgency,Locale_TownDistant
5019,Interlochen Center for the Arts,Interlochen,5019,OrganizationIdentificationSystem_SEA,,,"AddressTypeForOrganization_Physical","4000 Highway M-137",,"Interlochen",StateAbbreviation_MI,49643,Grand Traverse,44.6347,-85.7619,,OrganizationOperationalStatus_Open,2015-09-01,https://www.interlochen.org,OrganizationType_K12School,Locale_RuralRemote
5020,Flint Community Schools,Flint CS,5020|MI-5020,OrganizationIdentificationSystem_SEA|OrganizationIdentificationSystem_NCES,,,"AddressTypeForOrganization_Physical","923 E Kearsley St",,"Flint",StateAbbreviation_MI,48503,Genesee,43.0125,-83.6875,,OrganizationOperationalStatus_Open,2017-09-01,https://www.flintschools.org,OrganizationType_LocalEducationAgency,Locale_CitySmall
5021,Huron Valley Schools,HVS,5021,OrganizationIdentificationSystem_SEA,,,"AddressTypeForOrganization_Physical","2390 S Milford Rd",,"Highland",StateAbbreviation_MI,48357,Oakland,42.6281,-83.5826,,OrganizationOperationalStatus_Open,2020-09-01,https://www.hvs.k12.mi.us,OrganizationType_LocalEducationAgency,Locale_SuburbanSmall
5022,Clarkston Community Schools,Clarkston CS,5022,OrganizationIdentificationSystem_SEA,,,"AddressTypeForOrganization_Physical","6389 Clarkston Rd",,"Clarkston",StateAbbreviation_MI,48346,Oakland,42.7353,-83.4185,,OrganizationOperationalStatus_Open,2019-09-01,https://www.clarkston.k12.mi.us,OrganizationType_LocalEducationAgency,Locale_SuburbanSmall
5023,Lake Shore Public Schools,Lake Shore PS,5023,OrganizationIdentificationSystem_SEA,,,"AddressTypeForOrganization_Physical","21 Parcells Rd",,"St. Clair Shores",StateAbbreviation_MI,48081,Macomb,42.4734,-82.8969,,OrganizationOperationalStatus_Open,2018-09-01,https://www.lakeshore.k12.mi.us,OrganizationType_LocalEducationAgency,Locale_SuburbanLarge
5024,Romeo Community Schools,Romeo CS,5024,OrganizationIdentificationSystem_SEA,,,"AddressTypeForOrganization_Physical","316 N Main St",,"Romeo",StateAbbreviation_MI,48065,Macomb,42.8030,-83.0130,,OrganizationOperationalStatus_Open,2020-09-01,https://www.romeo.k12.mi.us,OrganizationType_LocalEducationAgency,Locale_RuralFringe
5025,Chippewa Valley Schools,CVS,5025,OrganizationIdentificationSystem_SEA,,,"AddressTypeForOrganization_Physical","19120 Cass Ave",,"Clinton Township",StateAbbreviation_MI,48038,Macomb,42.5862,-82.8967,,OrganizationOperationalStatus_Open,2017-09-01,https://www.cvs.k12.mi.us,OrganizationType_LocalEducationAgency,Locale_SuburbanLarge
5026,Utica Community Schools,Utica CS,5026|MI-5026,OrganizationIdentificationSystem_SEA|OrganizationIdentificationSystem_NCES,,,"AddressTypeForOrganization_Physical","11303 Greendale Dr",,"Sterling Heights",StateAbbreviation_MI,48312,Macomb,42.5803,-83.0302,,OrganizationOperationalStatus_Open,2016-09-01,https://www.uticak12.org,OrganizationType_LocalEducationAgency,Locale_SuburbanLarge
5027,Portage Public Schools,Portage PS,5027,OrganizationIdentificationSystem_SEA,,,"AddressTypeForOrganization_Physical","8107 Mustang Dr",,"Portage",StateAbbreviation_MI,49002,Kalamazoo,42.2011,-85.5726,,OrganizationOperationalStatus_Open,2018-09-01,https://www.portageps.org,OrganizationType_LocalEducationAgency,Locale_SuburbanSmall
5028,Pinckney Community Schools,Pinckney CS,5028,OrganizationIdentificationSystem_SEA,,,"AddressTypeForOrganization_Physical","2130 E M-36",,"Pinckney",StateAbbreviation_MI,48169,Livingston,42.4559,-83.9414,,OrganizationOperationalStatus_Open,2019-09-01,https://www.pcs.k12.mi.us,OrganizationType_LocalEducationAgency,Locale_RuralFringe
5029,Closed Academy (Inactive),Closed Acad,5029,OrganizationIdentificationSystem_SEA,,,"AddressTypeForOrganization_Physical","1 Academy Blvd",,"Battle Creek",StateAbbreviation_MI,49015,Calhoun,42.3212,-85.1797,,OrganizationOperationalStatus_Closed,2018-06-30,,OrganizationType_K12School,Locale_SuburbanSmall
5030,Michigan Virtual University,MVU,5030,,289902,,"AddressTypeForOrganization_Physical","200 N Washington Sq","Ste 140","Lansing",StateAbbreviation_MI,48933,Ingham,42.7335,-84.5467,,OrganizationOperationalStatus_Open,2005-09-01,https://www.michiganvirtual.org,OrganizationType_PostsecondaryInstitution,Locale_CitySmall
